day,status,type,typename,unixtime,nonglicn,nongli,shengxiao,jieqi,weekcn,week1,week3,daynum,weeknum
20191223,1,0,工作日,1577030400,十一月廿八,11月28日,猪,冬至后,一,Mon,Monday,356,52
20191224,1,0,工作日,1577116800,十一月廿九,11月29日,猪,冬至后,二,Tue,Tuesday,357,52
20191225,1,0,工作日,1577203200,十一月三十,11月30日,猪,冬至后,三,Wed,Wednesday,358,52
20191226,1,0,工作日,1577289600,腊月初一,12月1日,猪,冬至后,四,Thu,Thursday,359,52
20191227,1,0,工作日,1577376000,腊月初二,12月2日,猪,冬至后,五,Fri,Friday,360,52
20191228,1,1,假日,1577462400,腊月初三,12月3日,猪,冬至后,六,Sat,Saturday,361,52
20191229,1,1,假日,1577548800,腊月初四,12月4日,猪,冬至后,日,Sun,Sunday,362,52
20191230,1,0,工作日,1577635200,腊月初五,12月5日,猪,冬至后,一,Mon,Monday,363,1
20191231,1,0,工作日,1577721600,腊月初六,12月6日,猪,冬至后,二,Tue,Tuesday,364,1
20200101,1,2,节日,1577808000,腊月初七,12月7日,猪,冬至后,三,Wed,Wednesday,0,1
20200102,1,0,工作日,1577894400,腊月初八,12月8日,猪,冬至后,四,Thu,Thursday,1,1
20200103,1,0,工作日,1577980800,腊月初九,12月9日,猪,冬至后,五,Fri,Friday,2,1
20200104,1,1,假日,1578067200,腊月初十,12月10日,猪,冬至后,六,Sat,Saturday,3,1
